username,profileUrl,fullName,audienceSegment,country,countryConfidence,excludedCountry,excludedCountryConfidence,marketEligible,followersCount,medianReelViews,reelsMeasured,estimatedContractPriceGBP,supplementScore,discoveredBy,bio
empiresupplementsltd,https://www.instagram.com/empiresupplementsltd/,Empire Supplements,Supplement reviews,UK,4,,0,true,1435,1274,11,110,35,supplement reviews Manchester; supplements Manchester; protein powder Manchester,"Monday - Friday 10:30 - 6:30pm
Saturday - 11 - 6pm
Sunday - 11 - 4:30pm"
powerupsupplement,https://www.instagram.com/powerupsupplement/,Power UP Supplements,Supplement reviews,UK,2,,0,true,15157,1604,12,140,24,supplement reviews London; supplements London,"📍London | @powerupsupplement 
📍Leicester | @powerupleicester
📍PT Studio | @powerupcentreofexcellence
📍🍔+ 🍗 | @unclefabs_chicken"
popeyessupplements_toronto,https://www.instagram.com/popeyessupplements_toronto/,Popeye's Supplements Toronto,Supplement reviews,Canada,2,,0,true,24076,2676,12,240,23,supplement reviews Toronto; supplements Toronto,"Toronto’s #1 Supplement Destination
🏆 Trusted Products | Unbeatable prices
🇨🇦 The best since 1989
🔗 Shop, find a store and more below"
thesupplementreview,https://www.instagram.com/thesupplementreview/,The Supplement Review ®,Supplement reviews,UK,5,,0,true,30248,1304,12,120,18,supplement reviews; supplement reviews UK; supplement reviews London,"*Supplement Industry news and reviews*
Owner of @thesupplementsamplingservice 
For entertainment purposes only"
gainzfactorymcr,https://www.instagram.com/gainzfactorymcr/,⚙️GAINZ FACTORY MCR ⚙️,Supplement reviews,UK,4,,0,true,8574,1272,12,110,18,supplement reviews Manchester; supplements Manchester; protein powder Manchester,"MANCHESTER’S TOP SUPPLEMENT STORE 💪🏽💊
🔹Proteins / Supplements / Vitamins
🔹Professional advice
🔹Next day delivery 🚚
🔹Open 10 till 6 everyday"
esncom.uk,https://www.instagram.com/esncom.uk/,ESN UK 🇬🇧 | Elite Sports Nutrition,Supplement reviews,UK,4,Spain,1,true,57655,2328,12,210,12,supplements United Kingdom,"Supplements developed with athletes
Nutrition for real life performance
Lab-verified quality
Science-backed innovation leader"
british_supplements_official,https://www.instagram.com/british_supplements_official/,chris boyle,Supplement reviews,UK,2,,0,true,5225,3186,2,290,6,supplements,
